from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
1832,Quadro FX 380M,124,0
1833,Quadro FX 1400,124,0
1834,M76M,124,0
1835,GeForce 405,123,0
1836,Radeon HD 4250,123,0
1837,Intel Haswell HD - GT1,123,0
1838,Matrox G200e WDDM 2.0,123,0
1839,Radeon HD 7290M,123,0
1840,GeForce 310,122,0
1841,Quadro FX 570M,122,0
1842,Radeon HD 6310,122,0
1843,GeForce 9500M G,122,0
1844,GeForce GT 220M,121,0
1845,Radeon HD 2400,121,0
1846,Extreme AX850 PRO,120,0
1847,Qualcomm Adreno 540 GPU,120,0
1848,Qualcomm Adreno 618 GPU,120,0
1849,GeForce 9600M GS,119,0
1850,GeForce 9400,119,0
1851,Radeon HD 2400 XT,119,0
1852,RV530 PRO,119,0
1853,GeForce 8600 GT,118,0
1854,GeForce 315M,118,0
1855,Quadro FX 1700,118,0
1856,FireMV 2260,117,0
1857,Mobile Intel 45 Express-Chipsatzfamilie,117,0
1858,Radeon X1700 Targa Edition,117,0
1859,PHDGD Quantic C3,117,0
1860,Radeon X1600 XT,116,0
1861,FireGL V7200,116,0
1862,NVS 3100M,115,0
1863,Radeon HD 7290,115,0
1864,Quadro FX 570,115,0
1865,FireGL V5200,115,0
1866,GeForce Go 7800,115,0
1867,Quadro FX 560,114,0
1868,Radeon HD 2400 Pro,114,0
1869,NVS 300,113,0
1870,Sapphire RADEON X800 GT,113,0
1871,FirePro 2260,113,0
1872,GeForce 6800,113,0
1873,Radeon X1950 Pro,113,0
1874,GeForce 310M,112,0
1875,Radeon HD 4200,112,0
1876,Intel HD Modded,112,0
1877,FireGL V7350,111,0
1878,GeForce 6600 GT,111,0
1879,Mobility Radeon HD 3400 Serisi,111,0
1880,Radeon HD 2600 Pro AGP,110,0
1881,Radeon HD 4270,110,0
1882,VIA/S3G Chrome 645/640 GPU,110,0
1883,GeForce 6800 LE,110,0
1884,XFX Radeon HD 4650 AGP,110,0
1885,GeForce G105M,109,0
1886,Radeon HD 4330,109,0
1887,Radeon HD 6290,109,0
1888,GeForce GT 320M,108,0
1889,Quadro FX 370 LP,108,0
1890,Radeon Infoshock 3000,107,0
1891,GeForce 8500 GT,106,0
1892,Radeon X1950 GT,106,0
1893,GeForce Go 6800,106,0
1894,GeForce9400M,106,0
1895,Mobility Radeon X1700,105,0
1896,GeForce 9450,105,0
1897,GeForce 9500M GS,104,0
1898,GeForce G210,104,0
1899,GeForce 9500M,104,0
1900,M880G with Mobility Radeon HD 4250,104,0
1901,Quadro FX 3400/4400,104,0
1902,Radeon HD 4350,103,0
1903,FireGL V3400,103,0
1904,GeForce 6800 GS/XT,103,0
1905,Quadro FX 370 Low Profile,103,0
1906,Quadro FX Go1400,102,0
1907,Mobility Radeon HD 2400 XT,102,0
1908,Intel G33/G31 Express,102,0
1909,Intel Media Accelerator HD,101,0
1910,Quadro FX 4000,101,0
1911,GeForce 9200M GS,100,0
1912,Radeon X1600 Pro,99,0
1913,RADEON X800 XT,98,0
1914,Radeon 3000,98,0
1915,ION LE,98,0
1916,Mobility Radeon HD 4250,98,0
1917,Mobility Radeon HD 3430,98,0
1918,GeForce 8400M GS,98,0
1919,GeForce 9300GE,98,0
1920,GeForce 210,97,0
1921,Quadro NVS 130M,97,0
1922,Mobility Radeon HD serie 4200,97,0
1923,Radeon HD 3000,96,0
1924,Radeon HD 3450,95,0
1925,GeForce 6700 XL,95,0
1926,MEDION RADEON X740XL,95,0
1927,Radeon HD 6250,94,0
1928,Mobility Radeon HD 3470 Hybrid X2,94,0
1929,Matrox G200eW3 WDDM 2.0,94,0
1930,GeForce 8600 GS,93,0
1931,GeForce G102M,93,0
1932,Quadro NVS 150M,93,0
1933,M880G with Mobility Radeon HD 4200,93,0
1934,Mobility Radeon HD 3470,93,0
1935,Mobility Radeon HD 4270,93,0
1936,Quadro FX 370M,93,0
1937,FireGL V5100,93,0
1938,GeForce 8300,92,0
1939,GeForce G205M,92,0
1940,Mobility Radeon X1600,92,0
1941,nForce 780a SLI,92,0
1942,RADEON X600XT,92,0
1943,GeForce 9300M GS,91,0
1944,Mobility Radeon HD 4200,91,0
1945,Mobility Radeon HD 3450,91,0
1946,ASUS Extreme AX600XT-TD,91,0
1947,GeForce 9400 GT,90,0
1948,GeForce 8600M GT,90,0
1949,Radeon HD 3470,90,0
1950,Mobility Radeon HD 2400,90,0
1951,GeForce 6610 XL,89,0
1952,GeForce 9400M,88,0
1953,ION,88,0
1954,GeForce 6600,88,0
1955,Quadro FX 360M,87,0
1956,Radeon X1300PRO,87,0
1957,Quadro FX 350,86,0
1958,GeForce 9300M G,85,0
1959,Radeon X1650 Pro,85,0
1960,FireGL V3200,85,0
1961,Quadro FX 370,84,0
1962,RADEON X800 GT,84,0
1963,ALL-IN-WONDER X800 GT,84,0
1964,Radeon X1300 PRO,84,0
1965,GeForce 999 GTX,84,0
1966,nForce 750a SLI,83,0
1967,nForce 980a/780a SLI,82,0
1968,GeForce 9100,82,0
1969,Radeon HD 3200,82,0
1970,MOBILITY FireGL V5000,82,0
1971,RADEON X850 XT Platinum Edition,82,0
1972,Mobility Radeon X2500,82,0
1973,GeForce 9300 SE,82,0
1974,Quadro FX 540,81,0
1975,Quadro NVS 420,81,0
1976,GeForce 8400,81,0
1977,Mobility Radeon 4100,81,0
1978,RADEON X850 XT,81,0
1979,RADEON X800 XT Platinum Edition,81,0
1980,RADEON X800GT,80,0
1981,GeForce 7300 GS,80,0
1982,GeForce 8100 / nForce 720a,79,0
1983,Intel - Express Chipset G45/G43,79,0
1984,GeForce 8600M GS,78,0
1985,Radeon HD 2350,77,0
1986,RADEON X800 GTO,77,0
1987,Quadro NVS 295,76,0
1988,Quadro NVS 160M,76,0
1989,RADEON X700 PRO,76,0
1990,M860G with Mobility Radeon 4100,76,0
1991,Radeon X1650 GTO,75,0
1992,Intel G41 Express Chipset,75,0
1993,GeForce 9100M G,74,0
1994,Radeon 3100,74,0
1995,GeForce 7350 LE,74,0
1996,Sapphire RADEON X1600 PRO,74,0
1997,FireMV 2450,74,0
1998,RADEON X850 PRO,73,0
1999,RADEON X800 PRO/GTO,73,0
2000,RADEON X700,73,0
2001,Mobility Radeon HD 4300 Serisi,73,0
2002,M880G with Mobility Radeon HD 4225,72,0
2003,GeForce 8200M G,72,0
2004,Intel G41 Express Chipset v2,72,0
2005,FireGL V7100,72,0
2006,MEDION RADEON 9800 XXL,72,0
2007,GeForce 9300 GS,71,0
2008,RADEON X700 SE,71,0
2009,Radeon X1650 SE,71,0
2010,FireGL V3300,71,0
2011,Radeon X550XTX,71,0
2012,IncrediblE Q45/Q43 Express Chipset,70,0
2013,Diamond X1300-PCIE 256MB,70,0
2014,BASICDISPLAY,70,0
2015,FireGL V3350,69,0
2016,RADEON X800 XL,69,0
2017,GeForce Go 6600,69,0
2018,u0411u0430u0437u043eu0432u044bu0439 u0432u0438u0434u0435u043eu0430u0434u0430u043fu0442u0435u0440,69,0
2019,Quadro FX 3000,69,0
2020,Radeon X1600 Pro / X1300XT,69,0
2021,GeForce 8400 SE,68,0
2022,Intel B43 Express Chipset,68,0
2023,Matrox G200eR WDDM 2.0,68,0
2024,Intel G45/G43/G41 Express Chipset,68,0
2025,GeForce 9400M G,67,0
2026,GeForce G 105M,67,0
2027,GeForce 9300 GE,67,0
2028,Radeon X1550,67,0
2029,MOBILITY RADEON X700,67,0
2030,256MB RADEON X600,67,0
2031,Intel G45/G43 Express Chipset,67,0
2032,GeForce 8300 GS,67,0
2033,Quadro NVS 135M,67,0
2034,PHDGD Quebec 4.0 for Intel Q45/Q43 Express Chipset,67,0
2035,Intel Infoshock G41 Express Chipset,67,0
2036,128MB DDR Radeon 9800 Pro,66,0
2037,GeForce 7500 LE,66,0
2038,Mobility Radeon HD 4225,66,0
2039,VisionTek Radeon HD2400 Pro AGP,66,0
2040,GeForce Go 7400,66,0
2041,Quadro NVS 450,65,0
2042,RADEON X800 PRO,65,0
2043,PHDGD Quebec 4.0 for Intel G41 Express Chipset,65,0
2044,GeForce 8400M GT,64,0
2045,Quadro FX 550,64,0
2046,M71-M,64,0
2047,Mobility Radeon HD 3410,63,0
2048,Intel HD manual-15.28-1861,63,0
2049,GeForce G 103M,62,0
2050,MOBILITY FireGL V3200,62,0
2051,Mobile Intel 965 Express,62,0
2052,128 DDR Radeon 9800 Pro,62,0
2053,SAPPHIRE Radeon X1550,61,0
2054,Radeon 2100,60,0
2055,Mikrouku0142ad Intel Q45/Q43 Express Chipset,60,0
2056,MOBILITY RADEON X700 XL,60,0
2057,FireGL X1,59,0
2058,GeForce FX 5950 Ultra,59,0
2059,GeForce 8400M G,59,0
2060,RADEON 9800 PRO,59,0
2061,Matrox G200e WDDM 1.2,59,0
2062,GeForce 6800 XE,59,0
2063,Radeon X1300,58,0
2064,GeForce 7300 LE,58,0
2065,Mikrouku0142ad Intel G41 Express Chipset,58,0
2066,Intel - Express Chipset Q45/Q43,58,0
2067,RADEON 9800,58,0
2068,Intel Q45/Q43 Express-Chipsatz,57,0
2069,Chipset Intel G41 Express,57,0
2070,RADEON X600 256MB HyperMemory,57,0
2071,RADEON 9800 XT,57,0
2072,Intel G41 Express-Chipsatz,57,0
2073,Intel - Express Chipset G41,57,0
2074,RADEON X550XT,56,0
2075,RADEON 9700 PRO,54,0
2076,FireGL V3100,53,0
2077,GeForce 7300 SE/7200 GS,53,0
2078,GeForce Go 7300,52,0
2079,GeForce 7100 GS,52,0
2080,Matrox G200eh WDDM 1.2,52,0
2081,RADEON E2400,52,0
2082,Chipset Intel Q45/Q43 Express,52,0
2083,Radeon Xpress 1300,52,0
2084,FirePro 2450,51,0
2085,GeForce FX Go5700,51,0
2086,Mobility Radeon HD 2300,51,0
2087,RADEON X550,51,0
2088,GeForce 6600 LE,51,0
2089,Mobile Intel 45 Express,51,0
2090,Matrox G200eW WDDM 1.2,50,0
2091,Inno3D GeForce 6200,50,0
2092,MOBILITY RADEON X600,50,0
2093,Quadro NVS 140M,49,0
2094,MOBILITY RADEON X600 SE,49,0
2095,Radeon X1050,49,0
2096,Mobility Radeon X2300 HD,49,0
2097,128MB RADEON X600 SE,49,0
2098,Radeon X1600,49,0
2099,Podstawowa karta wideo Microsoft,49,0
2100,Mobility Radeon X2300,48,0
2101,Quadro NVS 110M,48,0
2102,Radeon X1550 64-bit,48,0
2103,Mobile Intel - famiglia Express Chipset serie 4,48,0
2104,Quadro NVS 120M,47,0
2105,Radeon HD 2400 PRO AGP,47,0
2106,SAPPHIRE RADEON 9600 ATLANTIS,47,0
2107,FireMV 2250,46,0
2108,GeForce 6200 TurboCache,46,0
2109,MOBILITY RADEON 9800,46,0
2110,Quadro FX 350M,45,0
2111,GeForce Go 6600 TE/6200 TE,45,0
2112,GeForce Go 7200,45,0
2113,Mobile Intel 4 Express-Chipsatzfamilie,45,0
2114,MOBILITY FireGL V5200,45,0
2115,Mobile Intel serie 4 Express,45,0
2116,Matrox G200eR WDDM 1.2,45,0
2117,Matrox G200eh WDDM 2.0,45,0
2118,128 DDR Radeon 9700 TX w/TV-Out,44,0
2119,ASUS Extreme AX300,43,0
2120,Mobility Radeon X1400,43,0
2121,Radeon Xpress 1250,43,0
2122,Rodzina mikrouku0142adu00f3w Mobile Intel 45 Express,43,0
2123,RADEON 9600 PRO,43,0
2124,RADEON 9500 PRO / 9700,42,0
2125,u00c1ltalu00e1nos Microsoft-videoku00e1rtya,42,0
2126,Matrox M9138 LP PCIe x16,42,0
2127,GeForce FX 5700,41,0
2128,GeForce FX 5900 Ultra,41,0
2129,Matrox G200eh,41,0
2130,MOBILITY FIREGL T2,41,0
2131,Gigabyte RADEON X300,41,0
2132,GeForce FX 5900XT,40,0
2133,Mobility Radeon X1350,40,0
2134,Mobility Radeon X1300,40,0
2135,GeForce Go 6200 TE 64M / 6600 TE 128M,40,0
2136,Matrox G200eW,40,0
2137,S3 Chrome 430 ULP,40,0
2138,Radeon Xpress 1300M,40,0
2139,GeForce 7300 SE,39,0
2140,MOBILITY FIRE GL T2,39,0
2141,GeForce 7050 / nForce 620i,39,0
2142,Quadro NVS 285,39,0
2143,MOBILITY RADEON 9600/9700,39,0
2144,GIGABYTE RADEON 9600 PRO,39,0
2145,Mobile Intel - famiglia Express Chipset 45,39,0
2146,Quadro NVS 440,38,0
2147,Quadro NVS 285 128MB,38,0
2148,GeForce 6500,38,0
2149,RADEON X300SE,38,0
2150,256MB DDR Radeon 9800 XT,38,0
2151,Radeon X1250,37,0
2152,GeForce 6200SE TurboCache,37,0
2153,Matrox G200eR,37,0
2154,Quadro FX 1100,36,0
2155,Radeon Xpress 1200,36,0
2156,RADEON 9500,36,0
2157,FireMV 2200 PCIe,36,0
2158,CONNECT 3D RADEON X300,36,0
2159,MOBILITY RADEON 9600,36,0
2160,GeForce 6200,35,0
2161,GeForce FX 5900,35,0
2162,FireGL T2,35,0
2163,RADEON 9550,35,0
2164,GeForce PCX 5750,35,0
2165,GeForce 7100 / nForce 630i,35,0
2166,RADEON 9600 XT,35,0
2167,Quadro FX 1000,34,0
2168,MOBILITY RADEON X300,34,0
2169,Radeon Xpress 1100,34,0
2170,GeForce FX 5700 Ultra,34,0
2171,Quadro FX 1300,34,0
2172,GeForce 7025 / nForce 630a,34,0
2173,GeForce 6150 LE,34,0
2174,MOBILITY FIREGL T2/T2e,34,0
2175,GeForce PCX 5900,34,0
2176,GeForce FX 5700VE,33,0
2177,Radeon X1200,33,0
2178,GeForce 7150 / nForce 630i,33,0
2179,Mobility Radeon X1450,33,0
2180,Intel Media Accelerator,33,0
2181,GeForce FX 5900ZT,33,0
2182,GeForce 6200 A-LE,32,0
2183,Red Hat QXL controller,32,0
2184,Radeon X1270,31,0
2185,GeForce 6200 LE,31,0
2186,GeForce 7050 PV / nForce 630a,31,0
2187,FireGL T2-128,31,0
2188,OpenXT Display Driver,31,0
2189,Familia Intel G35 Express Chipset,31,0
2190,Radeon Xpress 1150,30,0
2191,RADEON XPRESS 200,30,0
2192,GeForce 6150SE nForce 430,30,0
2193,MOBILITY RADEON 9550,30,0
2194,All-in-Wonder X1800XL,30,0
2195,RADEON 9600 SE Family,29,0
2196,Zu00e1kladnu00ed graficku00fd adaptu00e9r Microsoft,29,0
2197,Radeon 9550 / X1050,29,0
2198,Matrox M9128 LP PCIe x16,29,0
2199,MOBILITY FIRE GL T2/T2e,28,0
2200,RADEON 9600 PRO Family,27,0
2201,GeForce 7050 / nForce 630i,27,0
2202,MOBILITY RADEON 9700,27,0
2203,MOBILITY RADEON XPRESS 200,27,0
2204,MOBILITY FireGL V5250,27,0
2205,GeForce 6100,27,0
2206,Radeon Xpress 1270,27,0
2207,RADEON 9600SE,27,0
2208,Matrox M9125 PCIe x16,26,0
2209,PHDGD Sapphire GR for Mobile Intel 965,26,0
2210,GeForce 7100 / nForce 620i,26,0
2211,VisionTek Radeon X1300,25,0
2212,GeForce 6150SE,25,0
2213,RADEON 9600 Family,25,0
2214,GeForce FX 5700LE,25,0
2215,GeForce 6100 nForce 420,25,0
2216,GeForce 6100 nForce 400,25,0
2217,MOBILITY RADEON 9600 PRO TURBO,25,0
2218,GeForce Go 6400,24,0
2219,GeForce 7050 / nForce 610i,24,0
2220,Quadro NVS 210S,24,0
2221,Intel G965 Express,24,0
2222,RADEON 9800 SE,24,0
2223,Mobile Intel 965 Express-Chipsatzfamilie,24,0
2224,GeForce 6100 nForce 430,23,0
2225,RADEON XPRESS 200M,23,0
2226,Matrox M9140 LP PCIe x16,23,0
2227,Microsoft u57fau672cu986fu793au5361,23,0
2228,Chell 1.8a for Mobile Intel 965,23,0
2229,RADEON A9800XT,23,0
2230,ALL-IN-WONDER 9800,23,0
2231,GeForce 7200 GS,23,0
2232,GeForce 6100 nForce 405,22,0
2233,GeForce 6150,22,0
2234,9xx Soldiers sans frontiers Sigma 2,22,0
2235,Quadro NVS 210S / GeForce 6150LE,21,0
2236,Familia Intel G965 Express Chipset,21,0
2237,PHDGD Solo 2 x64,20,0
2238,Matrox M9120 PCIe x16,20,0
2239,GeForce Go 6150,19,0
2240,QXL KMDOD,19,0
2241,RADEON 9600 TX Family,18,0
2242,GeForce Go 6100,18,0
2243,GeForce 7150M / nForce 630M,18,0
2244,GeForce FX Go 5600,18,0
2245,Intel 82945G Express,18,0
2246,ASUS RADEON A9600XT,18,0
2247,S3 Chrome S25 DDR2,18,0
2248,Mobile Intel965 Express,18,0
2249,RADEON XPRESS 200 CROSSFIRE,18,0
2250,Quadro FX 2000,18,0
2251,GeForce FX 5600 Ultra,17,0
2252,GeForce FX Go5650,17,0
2253,GeForce FX Go5600,16,0
2254,Chell 1.7b for Intel G33/G31,16,0
2255,GRID V100-8Q,16,0
2256,GeForce Go 6200,15,0
2257,NV44,15,0
2258,Radeon HD 2400 PCI,14,0
2259,Quadro FX 500/600 PCI,14,0
2260,Chell 1.8b for Mobile Intel 965,14,0
2261,Chell 1.7b Solo Edition,14,0
2262,GeForce 7000M / nForce 610M,13,0
2263,GeForce 7000M,13,0
2264,GeForce FX 5600,13,0
2265,GeForce FX Go5300,13,0
2266,GeForce FX 5200 Ultra,12,0
2267,GeForce FX 5200SE,12,0
2268,FireMV 2400 PCIe,11,0
2269,PHDGD Solo 1.2.0 x86,11,0
2270,RGH Drivers v3,11,0
2271,Master X3100 Driver,10,0
2272,Matrox M9148 LP PCIe x16,10,0
2273,Familia Intel Q33 Express Chipset,10,0
2274,MOBILITY IGP 9000/9100,10,0
2275,VIA Chrome9 HD IGP,9,0
2276,GeForce FX Go5200,9,0
2277,GeForce FX 5600XT,9,0
2278,Chell 1.7b for Intel 945G,9,0
2279,Matrox Parhelia 256MB,9,0
2280,ASUS A7000,9,0
2281,GeCube RADEON 7000,9,0
2282,GeForce FX 5500,8,0
2283,Quadro FX 500/FX 600,8,0
2284,MOBILITY RADEON 9000 IGP,8,0
2285,GeForce FX 5200,8,0
2286,GeForce FX Go 5200,8,0
2287,Intel Q35 Embedded,8,0
2288,Mobile Intel 965 Express - BR-0907-0461 v1839,8,0
2289,Quadro NVS 280 PCI,8,0
2290,Intel 82945G Express-Chipsatzfamilie,8,0
2291,GeForce FX 5100,8,0
2292,ASUS V9520-X V62.11,8,0
2293,GeForce FX Go5200 32M/64M,7,0
2294,GeForce4 MX Integrated GPU,7,0
2295,Quadro4 380 XGL,7,0
2296,GeForce4 Ti 4800 SE,7,0
2297,GeForce FX 5200LE,7,0
2298,Intel Media Accelerator 600,7,0
2299,GeForce4 Ti 4400,7,0
2300,Chell 1.7b for Mobile Intel 945,7,0
2301,Intel US15 Embedded Media and Controller,7,0
2302,Famille de jeu de puces Express Intel 946GZ,7,0
2303,Matrox Millennium P690 Plus LP PCIe x16,7,0
2304,Chell 1.8b for Intel G33/G31,7,0
2305,RADEON 8500 Family,7,0
2306,Intel Q33 Express,6,0
2307,GeForce4 440 Go 64M,6,0
2308,Intel 82915G Express,6,0
2309,GeForce PCX 5300,6,0
2310,RADEON IGP 350M,6,0
2311,MOBILITY RADEON 7000 IGP,6,0
2312,GeForce4 Ti 4600,6,0
2313,ALL-IN-WONDER RADEON 8500DV,6,0
2314,Mobile Intel 945GM Express,6,0
2315,VIA/S3G UniChromeII,6,0
2316,GeForce4 Ti 4200,6,0
2317,GeForce4 448 Go,6,0
2318,MOBILITY RADEON 9000/9100 IGP,6,0
2319,Quadro 280 NVS PCIe,6,0
2320,Matrox Parhelia APVe,6,0
2321,Quadro NVS 55/280 PCI,6,0
2322,RADEON 9100 Family,6,0
2323,Citrix Display Driver,6,0
2324,GeForce4 460 Go --MobileForce M4 Stock--,6,0
2325,Matrox M9120 Plus LP PCIe x16,6,0
2326,V9560XT V62.11,6,0
2327,GeForce2 Ultra,6,0
2328,GeForce4 Ti 4800,6,0
2329,64MB DDR GeForce3 Ti 200,6,0
2330,SiS 760,5,0
2331,GeForce 256,5,0
2332,VIA/S3G UniChrome Pro IGP,5,0
2333,Quadro4 980 XGL,5,0
2334,SiS M760,5,0
2335,FireMV 2400,5,0
2336,GeForce4 420 Go 32M,5,0
2337,Matrox Millennium P650 PCIe 128,5,0
2338,GeForce4 MX 440,5,0
2339,GeForce4 MX 4000,5,0
2340,Intel 82865G Controller,5,0
2341,GeForce4 MX 440 with AGP8X,5,0
2342,GeForce3,5,0
2343,RADEON 7500 Family,5,0
2344,GeForce4 MX 420,5,0
2345,GeForce2 Ti,5,0
2346,Mobile Intel 945GM/GU Express,5,0
2347,RADEON 9100 IGP,5,0
2348,ALL-IN-WONDER 9000,5,0
2349,GeForce4 MX 440SE,5,0
2350,Chell 1.7b for Intel GMA 3150,5,0
2351,Xabre,5,0
2352,Chell 1.8b for Intel Q965/Q963,5,0
2353,SAPPHIRE RADEON 9000 ATLANTIS PRO,5,0
2354,GeForce4 440,5,0
2355,Quadro4 900 XGL,5,0
2356,WinFast A250 LE,5,0
2357,GeForce2 MX with DVI-D and TV-out,5,0
2358,MOBILITY FIREGL 7800,5,0
2359,Intel 915G/915GV/910GL Embedded Controller Functio,5,0
2360,RADEON 9000,5,0
2361,XGI Volari Family v1.13.23.D_V,5,0
2362,Quadro2 MXR/EX,5,0
2363,Intel 945G Embedded Chipset Function 0,5,0
2364,ASUS AGP-V3800PRO v31.40H,5,0
2365,GeForce4 MX 460,4,0
2366,MOBILITY RADEON 7500,4,0
2367,VIA/S3G UniChrome IGP,4,0
2368,RADEON 7000 / RADEON VE Family,4,0
2369,VIA Chrome9 HC IGP Family,4,0
2370,GeForce3 Ti 200,4,0
2371,SiS 661FX/GX Mirage,4,0
2372,SiS M760GX,4,0
2373,GeForce4 4200 Go,4,0
2374,SiS M661MX,4,0
2375,VIA Chrome9 HC IGP,4,0
2376,GeForce2 Integrated GPU,4,0
2377,SiS Mirage,4,0
2378,GeForce4 Ti 4200 with AGP8X,4,0
2379,RADEON 9000 Family,4,0
2380,SiS 650_651_M650_M652_740,4,0
2381,RIVA TNT2 Model 64/Model 64 Pro,4,0
2382,RADEON 9200,4,0
2383,VIA Chrome9 HC IGP Family WDDM,4,0
2384,VIA/S3G KM400/KN400,4,0
2385,GeForce2 MX/MX 400,4,0
2386,SiS 661FX,4,0
2387,Radeon IGP 320M,4,0
2388,Intel 865 Embedded Controller,4,0
2389,GeForce2 GTS/GeForce2 Pro,4,0
2390,GeForce4 440 Go,4,0
2391,SiS 741,4,0
2392,Sherry 1.3.2 beta for 945 chipsets,4,0
2393,ABIT Siluro T400,4,0
2394,MOBILITY/RADEON 9000,4,0
2395,SiS 661FX_760_741_M661FX_M760_M741,4,0
2396,GeForce2 Go,4,0
2397,Intel 82915G/915GV/910GL,4,0
2398,Dell 8200,4,0
2399,"Intel 915G,910G Express",4,0
2400,RADEON IGP 320,4,0
2401,GeForce 6200A,4,0
2402,Intel 946GZ Express,3,0
2403,Intel Media Accelerator 500,3,0
2404,VIA/S3G DeltaChrome IGP,3,0
2405,GeForce2 MX 100/200,3,0
2406,Intel 82845G/GL/GE/PE/GV Controller,3,0
2407,VIA Chrome9 HC IGP WDDM 1.1,3,0
2408,RADEON 9200 SE,3,0
2409,Rage Fury Pro/Xpert 2000 Pro,3,0
2410,VIA Chrome9 HC IGP WDDM,3,0
2411,MOBILITY RADEON 9000,3,0
2412,GeForce4 MX 440-SE,3,0
2413,GeForce4 420 Go,3,0
2414,GeForce2 MX,3,0
2415,MOBILITY RADEON 9200,3,0
2416,RADEON IGP 345M,3,0
2417,Vanta/Vanta LT,3,0
2418,VIA Chrome9 HC3 IGP,3,0
2419,RADEON 9200 LE Family,3,0
2420,Radeon IGP 340M,3,0
2421,RADEON 9200 PRO Family,3,0
2422,GeForce3 Ti 500,3,0
2423,Intel 82845G/GL Controller,3,0
2424,Intel 82915G/GV/910GL Express,3,0
2425,Intel Media Accelerator 3150,3,0
2426,RADEON 9250,3,0
2427,SiS 651,3,0
2428,RADEON 7500,3,0
2429,RIVA TNT2/TNT2 Pro,3,0
2430,MOBILITY RADEON 9100 IGP,3,0
2431,S3 Inc. Savage4,3,0
2432,Chell 1.8b for Mobile Intel 945,3,0
2433,Intel 946GZ Embedded Chipset Function 0,3,0
2434,SiS 6326,3,0
2435,GMA 950 Ultimate V1.2 Sherry,3,0
2436,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,0
2437,Matrox Parhelia 128MB,3,0
2438,RADEON 7200,3,0
2439,Radeon 7000 / Radeon VE,3,0
2440,Intel 82915G/GV/910GL Advanced v3.5,3,0
2441,64MB GeForce2 MX with TV Out,3,0
2442,Intel GMA 3150 Express,3,0
2443,Mobile Intel 945 Express,2,0
2444,Mobile Intel 915GM/GMS/910GML Express,2,0
2445,SiS Mirage 3,2,0
2446,RADEON 9200 SE Family,2,0
2447,Quadro NVS 280 SD,2,0
2448,Intel 82845G Controller,2,0
2449,Sherry 1.3 for GMA 3150,2,0
2450,VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,0
2451,Chell 1.8b for Intel 945G,2,0
2452,VIA Chrome9 HCM IGP,2,0
2453,Chell 1.8b for Intel GMA 3150,2,0
2454,Dell 8100,2,0
2455,Radeon VE,2,0
2456,Intel Extreme Controller,2,0
2457,S3 SuperSavage/IXC 1014,2,0
2458,VisionTek Radeon 7000,2,0
2459,RADEON IGP 34xM,2,0
2460,SiS 630/730,1,0
2461,S3 ProSavageDDR,1,0
2462,"Tul , RADEON 9200SE",1,0
2463,Quadro2 Pro,1,0
2464,RAGE 128 PRO AGP 4X TMDS,1,0
2465,IGP 340M,1,0
2466,Rage 128 Pro,1,0
2467,Intel 82852/82855 GM/GME Controller,1,0
2468,FireMV 2200 PCI,1,0
